Instrument,SessionContext,TotalBars,Prefix,Quadruplet,Count,ConditionalProbability
ES,RTH,250,Directional->Directional->Degrading,Directional->Directional->Degrading->Unresolved,2,50.00
ES,RTH,250,Directional->Degrading->Unresolved,Directional->Degrading->Unresolved->Unresolved,2,50.00
ES,RTH,250,Degrading->Unresolved->Unresolved,Degrading->Unresolved->Unresolved->Unresolved,5,71.43
ES,RTH,250,Unresolved->Directional->Directional,Unresolved->Directional->Directional->Directional,2,50.00
ES,RTH,250,Directional->Directional->Directional,Directional->Directional->Directional->Directional,8,80.00
ES,RTH,250,Directional->Directional->Directional,Directional->Directional->Directional->Degrading,2,20.00
ES,RTH,250,Directional->Directional->Degrading,Directional->Directional->Degrading->Balance,1,25.00
ES,RTH,250,Directional->Degrading->Balance,Directional->Degrading->Balance->Degrading,1,100.00
ES,RTH,250,Degrading->Balance->Degrading,Degrading->Balance->Degrading->Degrading,1,100.00
ES,RTH,250,Balance->Degrading->Degrading,Balance->Degrading->Degrading->Unresolved,1,100.00
ES,RTH,250,Degrading->Degrading->Unresolved,Degrading->Degrading->Unresolved->Unresolved,2,50.00
ES,RTH,250,Unresolved->Unresolved->Directional,Unresolved->Unresolved->Directional->Degrading,1,25.00
ES,RTH,250,Unresolved->Directional->Degrading,Unresolved->Directional->Degrading->Unresolved,1,100.00
ES,RTH,250,Degrading->Unresolved->Unresolved,Degrading->Unresolved->Unresolved->Balance,1,14.29
ES,RTH,250,Unresolved->Unresolved->Balance,Unresolved->Unresolved->Balance->Unresolved,5,71.43
ES,RTH,250,Unresolved->Balance->Unresolved,Unresolved->Balance->Unresolved->Unresolved,5,71.43
ES,RTH,250,Balance->Unresolved->Unresolved,Balance->Unresolved->Unresolved->Unresolved,6,85.71
ES,RTH,250,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Degrading,2,1.38
ES,RTH,250,Unresolved->Unresolved->Degrading,Unresolved->Unresolved->Degrading->Directional,1,33.33
ES,RTH,250,Unresolved->Degrading->Directional,Unresolved->Degrading->Directional->Degrading,1,100.00
ES,RTH,250,Degrading->Directional->Degrading,Degrading->Directional->Degrading->Unresolved,1,100.00
ES,RTH,250,Directional->Degrading->Unresolved,Directional->Degrading->Unresolved->Degrading,1,25.00
ES,RTH,250,Degrading->Unresolved->Degrading,Degrading->Unresolved->Degrading->Unresolved,2,100.00
ES,RTH,250,Unresolved->Degrading->Unresolved,Unresolved->Degrading->Unresolved->Unresolved,3,100.00
ES,RTH,250,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Balance,5,3.45
ES,RTH,250,Directional->Degrading->Unresolved,Directional->Degrading->Unresolved->Directional,1,25.00
ES,RTH,250,Degrading->Unresolved->Directional,Degrading->Unresolved->Directional->Directional,1,100.00
ES,RTH,250,Directional->Directional->Degrading,Directional->Directional->Degrading->Degrading,1,25.00
ES,RTH,250,Directional->Degrading->Degrading,Directional->Degrading->Degrading->Degrading,1,100.00
ES,RTH,250,Degrading->Degrading->Degrading,Degrading->Degrading->Degrading->Degrading,6,75.00
ES,RTH,250,Degrading->Degrading->Degrading,Degrading->Degrading->Degrading->Unresolved,2,25.00
ES,RTH,250,Degrading->Degrading->Unresolved,Degrading->Degrading->Unresolved->Balance,1,25.00
ES,RTH,250,Degrading->Unresolved->Balance,Degrading->Unresolved->Balance->Unresolved,1,100.00
ES,RTH,250,Unresolved->Balance->Unresolved,Unresolved->Balance->Unresolved->Balance,2,28.57
ES,RTH,250,Balance->Unresolved->Balance,Balance->Unresolved->Balance->Unresolved,1,50.00
ES,RTH,250,Unresolved->Unresolved->Balance,Unresolved->Unresolved->Balance->Balance,2,28.57
ES,RTH,250,Unresolved->Balance->Balance,Unresolved->Balance->Balance->Unresolved,3,100.00
ES,RTH,250,Balance->Balance->Unresolved,Balance->Balance->Unresolved->Degrading,1,33.33
ES,RTH,250,Balance->Unresolved->Degrading,Balance->Unresolved->Degrading->Degrading,1,100.00
ES,RTH,250,Unresolved->Degrading->Degrading,Unresolved->Degrading->Degrading->Degrading,1,50.00
ES,RTH,250,Degrading->Degrading->Unresolved,Degrading->Degrading->Unresolved->Degrading,1,25.00
ES,RTH,250,Unresolved->Unresolved->Degrading,Unresolved->Unresolved->Degrading->Degrading,1,33.33
ES,RTH,250,Unresolved->Degrading->Degrading,Unresolved->Degrading->Degrading->Unresolved,1,50.00
ES,RTH,250,Degrading->Unresolved->Unresolved,Degrading->Unresolved->Unresolved->Degrading,1,14.29
ES,RTH,250,Unresolved->Unresolved->Degrading,Unresolved->Unresolved->Degrading->Unresolved,1,33.33
ES,RTH,250,Balance->Balance->Unresolved,Balance->Balance->Unresolved->Unresolved,2,66.67
ES,RTH,250,Balance->Unresolved->Unresolved,Balance->Unresolved->Unresolved->Balance,1,14.29
ES,RTH,250,Balance->Unresolved->Balance,Balance->Unresolved->Balance->Balance,1,50.00
ES,RTH,300,Unknown->Unknown->Unknown,Unknown->Unknown->Unknown->Unresolved,2,100.00
ES,RTH,300,Unknown->Unknown->Unresolved,Unknown->Unknown->Unresolved->Unresolved,2,100.00
ES,RTH,300,Unknown->Unresolved->Unresolved,Unknown->Unresolved->Unresolved->Unresolved,2,100.00
ES,RTH,300,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,153,91.07
ES,RTH,300,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Unknown,1,0.60
ES,RTH,300,Unresolved->Unresolved->Unknown,Unresolved->Unresolved->Unknown->Unknown,1,100.00
ES,RTH,300,Unresolved->Unknown->Unknown,Unresolved->Unknown->Unknown->Unknown,1,100.00
ES,RTH,300,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Directional,4,2.38
ES,RTH,300,Unresolved->Unresolved->Directional,Unresolved->Unresolved->Directional->Directional,3,75.00
ES,RTH,300,Unresolved->Directional->Directional,Unresolved->Directional->Directional->Degrading,2,50.00
ES,RTH,300,Directional->Directional->Degrading,Directional->Directional->Degrading->Unresolved,2,50.00
ES,RTH,300,Directional->Degrading->Unresolved,Directional->Degrading->Unresolved->Unresolved,2,50.00
ES,RTH,300,Degrading->Unresolved->Unresolved,Degrading->Unresolved->Unresolved->Unresolved,6,66.67
ES,RTH,300,Unresolved->Directional->Directional,Unresolved->Directional->Directional->Directional,2,50.00
ES,RTH,300,Directional->Directional->Directional,Directional->Directional->Directional->Directional,8,80.00
ES,RTH,300,Directional->Directional->Directional,Directional->Directional->Directional->Degrading,2,20.00
ES,RTH,300,Directional->Directional->Degrading,Directional->Directional->Degrading->Balance,1,25.00
ES,RTH,300,Directional->Degrading->Balance,Directional->Degrading->Balance->Degrading,1,100.00
ES,RTH,300,Degrading->Balance->Degrading,Degrading->Balance->Degrading->Degrading,1,50.00
ES,RTH,300,Balance->Degrading->Degrading,Balance->Degrading->Degrading->Unresolved,1,100.00
ES,RTH,300,Degrading->Degrading->Unresolved,Degrading->Degrading->Unresolved->Unresolved,2,50.00
ES,RTH,300,Unresolved->Unresolved->Directional,Unresolved->Unresolved->Directional->Degrading,1,25.00
ES,RTH,300,Unresolved->Directional->Degrading,Unresolved->Directional->Degrading->Unresolved,1,100.00
ES,RTH,300,Degrading->Unresolved->Unresolved,Degrading->Unresolved->Unresolved->Balance,1,11.11
ES,RTH,300,Unresolved->Unresolved->Balance,Unresolved->Unresolved->Balance->Unresolved,6,66.67
ES,RTH,300,Unresolved->Balance->Unresolved,Unresolved->Balance->Unresolved->Unresolved,6,75.00
ES,RTH,300,Balance->Unresolved->Unresolved,Balance->Unresolved->Unresolved->Unresolved,8,88.89
ES,RTH,300,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Degrading,3,1.79
ES,RTH,300,Unresolved->Unresolved->Degrading,Unresolved->Unresolved->Degrading->Directional,1,20.00
